Date,Action,Action_Name,group
2024-04-01,0,HOLD,193
2024-04-02,0,HOLD,193
2024-04-03,0,HOLD,193
2024-04-04,0,HOLD,193
2024-04-05,0,HOLD,193
2024-04-08,0,HOLD,193
2024-04-09,0,HOLD,193
2024-04-10,0,HOLD,193
2024-04-11,0,HOLD,193
2024-04-12,0,HOLD,193
2024-04-15,0,HOLD,193
2024-04-16,0,HOLD,193
2024-04-17,0,HOLD,193
2024-04-18,0,HOLD,193
2024-04-19,0,HOLD,193
2024-04-22,0,HOLD,193
2024-04-23,0,HOLD,193
2024-04-24,0,HOLD,193
2024-04-25,0,HOLD,193
2024-04-26,0,HOLD,193
2024-04-29,0,HOLD,193
2024-04-30,0,HOLD,193
2024-05-01,0,HOLD,193
2024-05-02,0,HOLD,193
2024-05-03,0,HOLD,193
2024-05-06,0,HOLD,193
2024-05-07,0,HOLD,193
2024-05-08,0,HOLD,193
2024-05-09,0,HOLD,193
2024-05-10,0,HOLD,193
2024-05-13,0,HOLD,193
2024-05-14,0,HOLD,193
2024-05-15,0,HOLD,193
2024-05-16,0,HOLD,193
2024-05-17,0,HOLD,193
2024-05-20,0,HOLD,193
2024-05-21,0,HOLD,193
2024-05-22,0,HOLD,193
2024-05-23,0,HOLD,193
2024-05-24,0,HOLD,193
2024-05-28,0,HOLD,193
2024-05-29,0,HOLD,193
2024-05-30,0,HOLD,193
2024-05-31,0,HOLD,193
2024-06-03,0,HOLD,193
2024-06-04,0,HOLD,193
2024-06-05,0,HOLD,193
2024-06-06,0,HOLD,193
2024-06-07,0,HOLD,193
2024-06-10,0,HOLD,193
2024-06-11,0,HOLD,193
2024-06-12,0,HOLD,193
2024-06-13,0,HOLD,193
2024-06-14,0,HOLD,193
2024-06-17,0,HOLD,193
2024-06-18,0,HOLD,193
2024-06-20,0,HOLD,193
2024-06-21,0,HOLD,193
2024-06-24,0,HOLD,193
2024-06-25,0,HOLD,193
2024-06-26,2,SELL,194
2024-06-27,0,HOLD,195
2024-06-28,0,HOLD,195
2024-07-01,0,HOLD,195
2024-07-02,2,SELL,196
2024-07-03,2,SELL,196
2024-07-05,0,HOLD,197
2024-07-08,0,HOLD,197
2024-07-09,2,SELL,198
2024-07-10,1,BUY,199
2024-07-11,2,SELL,200
2024-07-12,2,SELL,200
2024-07-15,2,SELL,200
2024-07-16,2,SELL,200
2024-07-17,2,SELL,200
2024-07-18,2,SELL,200
2024-07-19,2,SELL,200
2024-07-22,2,SELL,200
2024-07-23,2,SELL,200
2024-07-24,2,SELL,200
2024-07-25,2,SELL,200
2024-07-26,2,SELL,200
2024-07-29,2,SELL,200
2024-07-30,2,SELL,200
2024-07-31,2,SELL,200
2024-08-01,0,HOLD,201
2024-08-02,0,HOLD,201
2024-08-05,2,SELL,202
2024-08-06,2,SELL,202
2024-08-07,2,SELL,202
2024-08-08,2,SELL,202
2024-08-09,2,SELL,202
2024-08-12,2,SELL,202
2024-08-13,2,SELL,202
2024-08-14,2,SELL,202
2024-08-15,2,SELL,202
2024-08-16,0,HOLD,203
2024-08-19,2,SELL,204
2024-08-20,2,SELL,204
2024-08-21,0,HOLD,205
2024-08-22,2,SELL,206
2024-08-23,2,SELL,206
2024-08-26,2,SELL,206
2024-08-27,0,HOLD,207
2024-08-28,0,HOLD,207
2024-08-29,0,HOLD,207
2024-08-30,0,HOLD,207
2024-09-03,0,HOLD,207
2024-09-04,0,HOLD,207
2024-09-05,2,SELL,208
2024-09-06,0,HOLD,209
2024-09-09,0,HOLD,209
2024-09-10,0,HOLD,209
2024-09-11,0,HOLD,209
2024-09-12,0,HOLD,209
2024-09-13,0,HOLD,209
2024-09-16,0,HOLD,209
2024-09-17,0,HOLD,209
2024-09-18,0,HOLD,209
2024-09-19,0,HOLD,209
2024-09-20,0,HOLD,209
2024-09-23,0,HOLD,209
2024-09-24,0,HOLD,209
2024-09-25,0,HOLD,209
2024-09-26,0,HOLD,209
2024-09-27,0,HOLD,209
2024-09-30,0,HOLD,209
2024-10-01,0,HOLD,209
2024-10-02,0,HOLD,209
2024-10-03,0,HOLD,209
2024-10-04,0,HOLD,209
2024-10-07,0,HOLD,209
2024-10-08,0,HOLD,209
2024-10-09,0,HOLD,209
2024-10-10,0,HOLD,209
2024-10-11,0,HOLD,209
2024-10-14,0,HOLD,209
2024-10-15,0,HOLD,209
2024-10-16,0,HOLD,209
2024-10-17,0,HOLD,209
2024-10-18,0,HOLD,209
2024-10-21,0,HOLD,209
2024-10-22,0,HOLD,209
2024-10-23,0,HOLD,209
2024-10-24,2,SELL,210
2024-10-25,0,HOLD,211
2024-10-28,0,HOLD,211
2024-10-29,0,HOLD,211
2024-10-30,0,HOLD,211
2024-10-31,0,HOLD,211
2024-11-01,2,SELL,212
2024-11-04,0,HOLD,213
2024-11-05,0,HOLD,213
2024-11-06,2,SELL,214
2024-11-07,2,SELL,214
2024-11-08,2,SELL,214
2024-11-11,0,HOLD,215
2024-11-12,2,SELL,216
2024-11-13,0,HOLD,217
2024-11-14,0,HOLD,217
2024-11-15,0,HOLD,217
2024-11-18,2,SELL,218
2024-11-19,2,SELL,218
2024-11-20,0,HOLD,219
2024-11-21,0,HOLD,219
2024-11-22,2,SELL,220
2024-11-25,2,SELL,220
2024-11-26,2,SELL,220
2024-11-27,2,SELL,220
2024-11-29,2,SELL,220
2024-12-02,0,HOLD,221
2024-12-03,2,SELL,222
2024-12-04,2,SELL,222
2024-12-05,2,SELL,222
2024-12-06,2,SELL,222
2024-12-09,2,SELL,222
2024-12-10,0,HOLD,223
2024-12-11,2,SELL,224
2024-12-12,2,SELL,224
2024-12-13,2,SELL,224
2024-12-16,2,SELL,224
2024-12-17,0,HOLD,225
2024-12-18,0,HOLD,225
2024-12-19,0,HOLD,225
2024-12-20,2,SELL,226
2024-12-23,0,HOLD,227
2024-12-24,2,SELL,228
2024-12-26,2,SELL,228
2024-12-27,2,SELL,228
2024-12-30,2,SELL,228
2024-12-31,2,SELL,228
2025-01-02,2,SELL,228
2025-01-03,2,SELL,228
2025-01-06,0,HOLD,229
2025-01-07,0,HOLD,229
2025-01-08,0,HOLD,229
2025-01-10,0,HOLD,229
2025-01-13,0,HOLD,229
2025-01-14,0,HOLD,229
2025-01-15,0,HOLD,229
2025-01-16,0,HOLD,229
2025-01-17,0,HOLD,229
2025-01-21,0,HOLD,229
2025-01-22,0,HOLD,229
2025-01-23,0,HOLD,229
2025-01-24,0,HOLD,229
2025-01-27,0,HOLD,229
2025-01-28,0,HOLD,229
2025-01-29,0,HOLD,229
2025-01-30,0,HOLD,229
2025-01-31,0,HOLD,229
2025-02-03,0,HOLD,229
2025-02-04,0,HOLD,229
2025-02-05,0,HOLD,229
2025-02-06,0,HOLD,229
2025-02-07,0,HOLD,229
2025-02-10,0,HOLD,229
2025-02-11,0,HOLD,229
2025-02-12,0,HOLD,229
2025-02-13,0,HOLD,229
2025-02-14,0,HOLD,229
2025-02-18,0,HOLD,229
2025-02-19,0,HOLD,229
2025-02-20,0,HOLD,229
2025-02-21,0,HOLD,229
2025-02-24,0,HOLD,229
2025-02-25,0,HOLD,229
2025-02-26,0,HOLD,229
2025-02-27,0,HOLD,229
2025-02-28,0,HOLD,229
2025-03-03,0,HOLD,229
2025-03-04,0,HOLD,229
2025-03-05,0,HOLD,229
2025-03-06,0,HOLD,229
2025-03-07,0,HOLD,229
2025-03-10,0,HOLD,229
2025-03-11,0,HOLD,229
2025-03-12,2,SELL,230
2025-03-13,0,HOLD,231
2025-03-14,0,HOLD,231
2025-03-17,2,SELL,232
2025-03-18,0,HOLD,233
2025-03-19,0,HOLD,233
